sample_length_mm,scanning_time_sec,stitching_time_sec
365.4,883.13,84.54
436.8,913.21,99.24
541.8,1407.29,119.66
375.9,792.66,89.05
147.0,521.73,45.69
396.9,736.76,108.01
380.1,912.99,116.14
226.8,640.96,70.27
216.0,686.94,70.04
180.0,561.69,99.63
90.0,364.14,49.51
239.4,635.64,77.13
298.2,846.27,103.21
285.6,625.35,128.38
342.3,642.49,98.45
245.7,537.44,102.88
338.1,906.06,69.87
154.5,551.45,51.32
169.5,473.07,50.31
247.5,612.12,90.34
296.1,452.33,77.96
214.5,740.41,75.45
212.4,498.66,77.76
306.6,564.54,153.64
304.5,552.4,122.28
527.1,926.63,117.3
564.9,1002.16,196.41
240.0,659.21,74.07
342.0,721.7,132.9
226.8,590.14,69.18
126.0,367.12,31.28
449.4,947.03,255.61
363.3,608.98,112.67
401.1,697.92,108.55
401.1,863.28,81.2
228.9,554.8,50.64
247.5,722.47,64.39
247.5,776.98,75.11
518.7,733.38,313.88
216.3,531.53,90.87
344.4,688.74,135.04
441.0,903.8,112.67
285.6,622.8,77.64
547.2,727.12,108.15
216.0,542.05,51.88
518.7,859.49,114.77
129.0,475.19,38.52
130.5,645.85,46.55
691.2,812.77,131.45
760.8,1222.89,134.58
579.6,1160.27,130.61
579.6,1016.37,131.57
124.5,458.48,37.58
115.5,420.48,39.17
157.5,584.13,44.93
160.5,454.13,43.03
241.5,745.35,78.23
240.0,837.11,76.31
241.2,649.55,56.94
160.5,687.57,51.0
120.0,470.32,37.86
135.0,567.51,42.1
148.5,492.79,43.89
165.0,502.44,51.11
616.8,993.76,113.07
616.8,960.61,131.17
213.0,605.86,55.0
201.0,640.83,52.77
165.0,577.2,53.05
156.0,583.15,50.59
193.5,541.78,45.77
201.0,626.53,47.12
497.7,1064.77,125.96
491.4,995.64,117.05
168.0,551.54,47.62
255.6,716.32,63.56
302.4,629.96,63.19
336.0,774.13,69.65
373.8,624.9,80.16
369.6,668.05,75.77
235.5,705.13,69.64
231.0,819.79,61.2
178.5,651.05,48.07
172.5,483.21,49.47
506.1,1001.23,117.37
508.2,1056.21,126.43
955.2,1379.22,195.63
955.2,1408.59,172.47
674.4,922.12,113.86
552.3,953.41,117.8
84.0,321.21,33.48
69.0,337.06,30.05
55.5,287.98,21.15
78.0,303.49,31.76
112.5,515.28,38.54
115.5,402.55,38.48
1242.0,1427.32,303.08
323.4,749.52,102.03
273.0,520.02,66.84
136.5,451.29,50.74
346.5,720.49,83.4
386.4,837.92,89.16
156.0,530.78,47.91
150.0,503.18,47.26
302.4,604.03,67.84
281.4,510.69,68.8
378.0,740.62,100.81
373.8,700.29,110.6
127.5,511.6,36.98
168.0,638.99,46.83
61.38,366.24,34.52
115.5,479.64,48.34
153.0,409.11,53.01
241.2,552.02,62.58
135.0,474.01,38.16
133.5,481.85,37.86
1190.7,1375.81,304.94
1223.1,1407.28,249.47
97.5,359.74,32.47
131.4,471.71,74.7
232.2,672.3,162.54
135.0,487.3,84.85
105.0,380.34,50.82
352.8,693.95,84.17
327.6,673.55,79.92
1161.0,1490.34,316.91
369.6,873.95,83.03
380.1,774.93,136.6
369.6,914.75,82.52
784.8,1342.72,147.67
