sample_length_mm,scanning_time_sec,stitching_time_sec
93.0,414.7,32.86
208.8,630.88,65.1
121.5,410.92,73.1
153.0,476.33,66.86
818.4,1300.27,197.02
859.2,1461.45,276.0
151.5,517.81,48.02
171.0,543.95,58.7
135.0,483.26,49.62
205.5,554.91,89.22
135.0,536.94,56.11
281.4,804.31,81.41
537.6,1145.68,142.48
522.9,925.32,196.3
459.9,1156.26,109.81
415.8,811.72,112.51
367.2,656.03,71.1
549.6,689.06,98.86
1792.8,2160.81,308.77
1795.5,2200.28,299.42
736.8,904.85,152.61
703.2,837.71,128.04
112.5,455.23,46.23
88.5,321.5,34.91
213.0,744.78,64.68
190.5,587.94,58.76
309.6,679.35,85.27
289.8,652.02,70.12
393.6,639.93,70.08
379.2,505.71,79.52
430.5,801.58,159.41
445.2,795.19,148.45
73.5,325.63,27.76
225.0,609.74,62.29
169.5,536.08,53.17
154.5,561.04,47.84
378.0,730.22,153.98
396.9,920.65,147.15
52.5,245.49,16.54
126.0,354.71,35.28
94.5,303.33,34.54
109.5,495.6,39.36
55.5,321.52,24.77
499.8,1000.33,216.12
512.4,1131.01,135.73
487.2,978.41,147.27
514.5,1036.69,149.37
363.3,763.39,205.85
312.9,750.91,172.2
497.7,825.19,197.57
495.6,923.35,258.7
348.6,704.6,192.56
357.0,840.36,132.41
205.5,599.0,95.04
181.5,655.65,53.62
310.8,655.35,195.19
323.4,643.09,217.5
357.0,770.37,170.33
361.2,689.36,152.52
323.4,822.79,124.07
354.9,680.85,135.01
497.7,837.29,239.77
504.0,968.75,281.07
162.0,492.62,49.7
136.8,485.51,33.13
228.0,752.93,71.65
204.0,721.94,59.49
201.6,624.58,52.59
219.6,570.36,66.18
382.2,692.59,171.94
340.2,772.01,89.56
153.0,552.31,49.16
151.5,572.75,45.93
187.2,453.44,95.47
223.2,502.42,114.28
325.5,774.28,107.21
346.5,780.4,85.2
325.5,591.69,191.38
329.7,705.02,162.78
208.5,670.28,75.6
474.6,1060.38,101.41
145.5,513.95,45.19
118.5,437.98,38.32
225.0,640.31,55.13
219.6,543.13,56.97
405.3,800.4,240.6
522.9,1017.47,288.15
154.5,634.25,51.27
168.0,505.47,53.18
126.0,393.56,38.08
133.5,510.0,34.55
359.1,728.64,93.62
350.7,766.74,168.84
664.8,1103.18,137.57
681.6,1413.58,147.04
518.4,815.76,90.73
319.2,727.03,74.0
136.5,476.31,34.83
154.5,593.68,49.92
196.5,637.28,59.51
202.5,698.44,58.09
365.4,726.5,66.21
367.5,705.07,111.58
205.5,581.07,60.56
216.0,614.98,68.38
175.5,559.05,54.58
178.5,540.15,52.72
681.6,1171.24,122.22
409.5,1018.36,86.67
700.8,1054.55,128.51
411.6,1076.1,111.52
655.2,1215.79,125.92
885.6,1363.58,188.26
141.0,435.85,46.46
207.0,609.48,54.82
132.0,559.72,38.28
127.5,463.43,39.76
403.2,948.84,215.37
371.7,871.97,214.93
